pressure (decibar),temperature (degree_celsius),salinity (dimensionless),pressure_error (decibar),temperature_error (degree_celsius),salinity_error (dimensionless),meta_format,meta_creation_date,meta_creation_centre,meta_creation_centre_pid,meta_data_source_doi,meta_data_centre,meta_platform_number,meta_cycle_number,meta_direction_of_profile,meta_data_mode,meta_profile_date,meta_profile_latitude,meta_profile_longitude,meta_pressure,meta_temperature,meta_salinity
2.0,,,,,,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
5.0,,,,,,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
10.0,,,,,,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
15.0,,,,,,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
20.0,,,,,,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
25.0,17.288,33.234,2.4,0.002,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
30.0,17.29,33.233,2.4,0.002,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
35.0,17.29,33.233,2.4,0.002,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
40.0,17.29,33.234,2.4,0.002,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
45.0,17.291,33.233,2.4,0.002,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
50.0,17.291,33.233,2.4,0.002,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
55.0,17.286,33.231,2.4,0.002,0.01,EasyOneArgoTSLite,2026-03-16T04:30:37Z,Ifremer,https://ror.org/044jxhp58,https://doi.org/10.17882/42182#126945,AO,4901639,0,A,D,2015-11-21T03:09:06Z,33.254,-122.475,sea water pressure equals 0 at sea-level,sea temperature in-situ ITS-90 scale,practical salinity
